school,health,absences,freetime,studytime,previous_fails,school_support,paid_support,semester_1_grade,semester_2_grade,final_grade
GP,1.00,0.00,4.00,2.00,0.00,no,yes,4,12,8
GP,4.00,10.00,3.00,4.00,0.00,yes,no,18,14,16
GP,3.00,8.00,1.00,4.00,0.00,yes,yes,12,14,13
GP,5.00,2.00,3.00,3.00,0.00,no,no,0,16,8
GP,1.00,6.00,3.00,4.00,0.00,no,yes,17,10,13.5
GP,4.00,4.00,4.00,3.00,0.00,no,yes,16,7,11.5
GP,4.00,6.00,5.00,1.00,0.00,no,no,1,3,2
GP,2.00,0.00,1.00,3.00,1.00,yes,no,8,12,10
GP,5.00,6.00,1.00,2.00,1.00,yes,no,12,15,13.5
GP,3.00,10.00,5.00,1.00,0.00,no,no,3,20,11.5
GP,5.00,8.00,4.00,2.00,0.00,no,no,14,15,14.5
GP,5.00,2.00,4.00,2.00,0.00,no,no,0,17,8.5
GP,2.00,2.00,4.00,2.00,0.00,no,no,13,16,14.5
GP,5.00,0.00,4.00,1.00,0.00,no,no,19,17,18
GP,5.00,20.00,2.00,2.00,1.00,no,no,10,14,12
GP,4.00,6.00,4.00,1.00,0.00,no,no,1,8,4.5
GP,1.00,2.00,2.00,2.00,0.00,no,no,18,3,10.5
GP,5.00,6.00,5.00,4.00,0.00,no,yes,18,11,14.5
GP,5.00,2.00,2.00,2.00,0.00,no,yes,16,19,17.5
GP,5.00,18.00,4.00,1.00,0.00,no,no,19,4,11.5
GP,5.00,0.00,4.00,2.00,0.00,no,yes,9,14,11.5
GP,5.00,0.00,5.00,1.00,0.00,yes,no,1,8,4.5
GP,1.00,0.00,3.00,2.00,0.00,yes,no,15,10,12.5
GP,5.00,2.00,4.00,2.00,3.00,no,no,12,4,8
GP,4.00,0.00,3.00,1.00,2.00,no,no,11,4,7.5
GP,4.00,8.00,5.00,1.00,0.00,no,yes,5,19,12
GP,5.00,0.00,2.00,3.00,2.00,no,no,16,6,11
GP,4.00,0.00,3.00,1.00,0.00,no,no,15,17,16
GP,5.00,12.00,4.00,1.00,0.00,no,no,11,11,11
GP,5.00,16.00,2.00,1.00,0.00,no,no,13,17,15
GP,5.00,0.00,3.00,2.00,0.00,no,no,17,19,18
GP,5.00,0.00,3.00,3.00,0.00,no,no,13,9,11
GP,5.00,0.00,4.00,2.00,0.00,no,no,11,8,9.5
GP,5.00,0.00,3.00,1.00,2.00,no,no,10,13,11.5
GP,5.00,0.00,4.00,2.00,1.00,no,no,19,14,16.5
GP,5.00,0.00,3.00,1.00,0.00,no,no,17,19,18
GP,3.00,0.00,2.00,4.00,0.00,yes,no,13,8,10.5
GP,2.00,8.00,3.00,1.00,2.00,no,no,13,17,15
GP,5.00,2.00,2.00,3.00,0.00,no,yes,16,9,12.5
GP,1.00,2.00,4.00,1.00,0.00,no,no,16,18,17
GP,5.00,0.00,4.00,1.00,3.00,no,no,6,10,8
GP,5.00,0.00,4.00,2.00,0.00,no,yes,9,5,7
GP,3.00,0.00,3.00,2.00,3.00,no,no,7,19,13
GP,5.00,2.00,3.00,2.00,0.00,no,yes,15,8,11.5
GP,5.00,0.00,3.00,1.00,0.00,no,no,11,7,9
GP,5.00,0.00,5.00,1.00,3.00,no,no,10,9,9.5
GP,4.00,0.00,3.00,1.00,3.00,no,no,12,13,12.5
GP,5.00,6.00,4.00,1.00,1.00,no,no,0,11,5.5
GP,3.00,8.00,2.00,3.00,2.00,no,yes,13,11,12
GP,4.00,0.00,5.00,1.00,3.00,no,no,13,9,11
GP,4.00,0.00,2.00,1.00,0.00,yes,no,15,7,11
GP,1.00,2.00,4.00,2.00,0.00,yes,yes,14,20,17
GP,5.00,8.00,2.00,1.00,0.00,no,no,2,6,4
GP,4.00,6.00,2.00,1.00,3.00,no,no,14,19,16.5
GP,3.00,2.00,2.00,1.00,0.00,no,no,4,15,9.5
GP,5.00,4.00,5.00,2.00,1.00,no,yes,16,12,14
GP,5.00,0.00,3.00,1.00,2.00,no,no,13,15,14
GP,3.00,6.00,4.00,2.00,2.00,yes,no,10,15,12.5
GP,5.00,0.00,4.00,1.00,1.00,no,no,8,20,14
GP,2.00,2.00,3.00,1.00,0.00,no,no,18,12,15
GP,5.00,0.00,3.00,2.00,3.00,no,no,13,14,13.5
GP,2.00,16.00,5.00,1.00,1.00,no,no,16,11,13.5
GP,4.00,4.00,3.00,2.00,0.00,no,no,12,6,9
GP,3.00,0.00,2.00,2.00,0.00,no,yes,19,5,12
GP,4.00,0.00,1.00,2.00,0.00,no,yes,11,15,13
GP,3.00,0.00,4.00,2.00,0.00,no,yes,2,5,3.5
GP,2.00,0.00,4.00,1.00,2.00,no,no,12,19,15.5
GP,3.00,2.00,3.00,2.00,0.00,no,yes,15,8,11.5
GP,5.00,0.00,4.00,2.00,0.00,no,yes,15,18,16.5
GP,3.00,0.00,3.00,2.00,3.00,no,no,16,16,16
GP,4.00,4.00,4.00,2.00,0.00,no,yes,11,12,11.5
GP,4.00,4.00,4.00,2.00,0.00,no,yes,16,18,17
GP,5.00,2.00,4.00,2.00,0.00,no,yes,18,17,17.5
GP,4.00,4.00,3.00,2.00,0.00,no,no,13,17,15
GP,3.00,10.00,3.00,1.00,0.00,no,no,18,19,18.5
GP,2.00,4.00,2.00,2.00,0.00,no,no,11,8,9.5
GP,3.00,10.00,4.00,2.00,0.00,no,yes,12,12,12
GP,3.00,2.00,2.00,2.00,0.00,no,yes,0,5,2.5
GP,5.00,0.00,4.00,2.00,0.00,no,no,17,5,11
GP,1.00,56.00,3.00,2.00,0.00,no,no,16,11,13.5
GP,1.00,14.00,2.00,2.00,0.00,no,yes,15,5,10
GP,4.00,12.00,3.00,2.00,0.00,no,no,18,7,12.5
GP,3.00,2.00,3.00,1.00,0.00,no,yes,15,5,10
GP,5.00,0.00,2.00,2.00,0.00,no,yes,2,3,2.5
GP,3.00,6.00,3.00,2.00,0.00,no,no,15,10,12.5
GP,3.00,4.00,1.00,2.00,0.00,no,no,16,3,9.5
GP,2.00,10.00,3.00,2.00,0.00,no,no,15,20,17.5
GP,3.00,0.00,3.00,2.00,0.00,no,no,15,5,10
GP,5.00,12.00,4.00,2.00,0.00,no,yes,10,20,15
GP,5.00,8.00,3.00,1.00,0.00,no,no,13,8,10.5
GP,3.00,0.00,3.00,1.00,0.00,no,no,0,9,4.5
GP,5.00,0.00,3.00,2.00,0.00,no,no,16,17,16.5
GP,5.00,4.00,2.00,1.00,0.00,no,no,1,5,3
GP,3.00,8.00,3.00,1.00,0.00,no,yes,12,17,14.5
GP,2.00,24.00,2.00,1.00,1.00,no,no,2,7,4.5
GP,3.00,0.00,5.00,2.00,0.00,no,yes,15,18,16.5
GP,2.00,2.00,3.00,2.00,0.00,no,no,1,17,9
GP,4.00,6.00,4.00,2.00,0.00,yes,yes,14,13,13.5
GP,1.00,4.00,4.00,2.00,0.00,no,yes,13,14,13.5
GP,3.00,18.00,3.00,1.00,0.00,no,no,11,13,12
GP,5.00,6.00,3.00,4.00,0.00,no,yes,14,20,17
GP,5.00,28.00,4.00,3.00,1.00,no,yes,14,16,15
GP,4.00,5.00,3.00,2.00,3.00,no,yes,14,14,14
GP,1.00,10.00,3.00,2.00,0.00,no,yes,17,19,18
GP,5.00,6.00,3.00,1.00,0.00,no,yes,10,8,9
GP,4.00,6.00,4.00,3.00,0.00,no,yes,9,18,13.5
GP,3.00,10.00,3.00,4.00,0.00,no,yes,10,4,7
GP,3.00,13.00,3.00,2.00,0.00,no,yes,18,12,15
GP,4.00,0.00,3.00,2.00,0.00,yes,yes,14,8,11
GP,5.00,15.00,4.00,2.00,1.00,no,yes,14,5,9.5
GP,3.00,12.00,2.00,1.00,0.00,no,yes,15,18,16.5
GP,1.00,2.00,4.00,2.00,0.00,no,yes,2,10,6
GP,1.00,22.00,4.00,2.00,2.00,no,yes,10,6,8
GP,4.00,13.00,2.00,2.00,1.00,no,yes,12,15,13.5
GP,3.00,3.00,3.00,1.00,0.00,no,yes,8,5,6.5
GP,4.00,4.00,3.00,3.00,0.00,no,yes,15,8,11.5
GP,5.00,2.00,2.00,2.00,0.00,no,no,10,5,7.5
GP,5.00,0.00,3.00,3.00,1.00,no,no,13,19,16
GP,3.00,2.00,3.00,2.00,0.00,yes,no,19,5,12
GP,4.00,0.00,3.00,2.00,0.00,no,yes,0,14,7
GP,5.00,0.00,3.00,3.00,0.00,no,no,14,14,14
GP,4.00,16.00,3.00,2.00,1.00,no,no,10,12,11
GP,3.00,10.00,3.00,2.00,0.00,no,no,2,15,8.5
GP,3.00,2.00,3.00,2.00,0.00,no,yes,16,15,15.5
GP,3.00,14.00,3.00,2.00,0.00,yes,yes,17,7,12
GP,3.00,10.00,2.00,3.00,0.00,no,no,15,12,13.5
GP,3.00,14.00,2.00,2.00,0.00,no,no,0,15,7.5
GP,1.00,4.00,5.00,2.00,0.00,no,yes,12,17,14.5
GP,2.00,14.00,5.00,2.00,0.00,yes,no,18,7,12.5
GP,1.00,2.00,2.00,2.00,0.00,no,yes,16,12,14
GP,5.00,18.00,4.00,2.00,0.00,no,yes,16,3,9.5
GP,2.00,10.00,3.00,3.00,0.00,no,no,16,5,10.5
GP,4.00,4.00,4.00,2.00,0.00,no,yes,18,12,15
GP,5.00,20.00,5.00,1.00,0.00,no,no,15,19,17
GP,3.00,2.00,1.00,2.00,0.00,no,no,15,4,9.5
GP,2.00,0.00,5.00,2.00,1.00,no,no,10,20,15
GP,5.00,14.00,5.00,2.00,0.00,no,no,16,10,13
GP,4.00,2.00,3.00,2.00,0.00,no,yes,15,6,10.5
GP,3.00,0.00,4.00,1.00,0.00,no,no,13,9,11
GP,5.00,0.00,3.00,1.00,0.00,no,no,18,11,14.5
GP,3.00,0.00,4.00,3.00,0.00,no,yes,14,7,10.5
GP,4.00,6.00,3.00,1.00,0.00,no,no,1,12,6.5
GP,2.00,4.00,2.00,1.00,0.00,no,no,19,9,14
GP,1.00,16.00,4.00,1.00,3.00,no,no,11,13,12
GP,5.00,8.00,3.00,2.00,1.00,no,no,10,16,13
GP,5.00,0.00,3.00,1.00,0.00,no,yes,18,12,15
GP,5.00,0.00,4.00,1.00,1.00,no,no,9,7,8
GP,2.00,6.00,3.00,2.00,0.00,yes,no,8,14,11
GP,5.00,4.00,2.00,1.00,1.00,no,no,8,12,10
GP,3.00,0.00,3.00,1.00,0.00,no,no,12,13,12.5
GP,5.00,0.00,4.00,1.00,0.00,no,no,15,16,15.5
GP,5.00,2.00,4.00,1.00,1.00,no,no,13,7,10
GP,4.00,6.00,2.00,4.00,0.00,no,yes,17,19,18
GP,1.00,12.00,3.00,2.00,0.00,no,no,16,12,14
GP,4.00,8.00,2.00,2.00,0.00,no,no,3,19,11
GP,2.00,0.00,4.00,4.00,0.00,no,yes,14,15,14.5
GP,2.00,21.00,1.00,2.00,0.00,no,yes,19,4,11.5
GP,3.00,2.00,3.00,2.00,0.00,no,yes,16,11,13.5
GP,3.00,1.00,3.00,3.00,0.00,no,no,18,17,17.5
GP,4.00,4.00,2.00,3.00,0.00,no,no,16,17,16.5
GP,3.00,0.00,3.00,3.00,0.00,no,yes,16,19,17.5
GP,1.00,13.00,2.00,2.00,0.00,no,yes,3,14,8.5
GP,5.00,2.00,4.00,2.00,0.00,no,yes,11,18,14.5
GP,4.00,8.00,3.00,2.00,0.00,no,yes,0,16,8
GP,5.00,10.00,4.00,2.00,0.00,no,yes,11,15,13
GP,3.00,0.00,3.00,2.00,0.00,no,no,10,14,12
GP,5.00,15.00,3.00,2.00,2.00,no,yes,16,5,10.5
GP,2.00,4.00,5.00,4.00,0.00,no,yes,17,20,18.5
GP,3.00,2.00,4.00,2.00,0.00,no,yes,19,13,16
GP,1.00,2.00,5.00,2.00,0.00,no,yes,16,15,15.5
GP,1.00,2.00,3.00,2.00,0.00,no,yes,17,3,10
GP,5.00,6.00,4.00,2.00,0.00,yes,yes,13,17,15
GP,5.00,75.00,1.00,2.00,0.00,no,no,15,3,9
GP,3.00,22.00,2.00,1.00,0.00,no,yes,10,13,11.5
GP,4.00,15.00,4.00,2.00,1.00,yes,no,14,16,15
GP,1.00,8.00,2.00,1.00,0.00,no,yes,14,18,16
GP,5.00,30.00,5.00,1.00,0.00,no,yes,11,16,13.5
GP,3.00,19.00,4.00,1.00,1.00,no,no,17,10,13.5
GP,3.00,1.00,2.00,4.00,0.00,no,yes,15,15,15
GP,4.00,4.00,4.00,2.00,0.00,yes,no,12,4,8
GP,5.00,4.00,4.00,2.00,0.00,no,no,16,13,14.5
GP,4.00,2.00,3.00,2.00,0.00,no,yes,15,13,14
GP,2.00,5.00,3.00,3.00,0.00,no,yes,0,18,9
GP,3.00,6.00,3.00,3.00,0.00,no,yes,14,18,16
GP,2.00,6.00,2.00,3.00,0.00,no,yes,16,7,11.5
GP,2.00,9.00,4.00,2.00,0.00,no,yes,0,14,7
GP,5.00,11.00,3.00,2.00,0.00,no,yes,19,14,16.5
GP,3.00,0.00,2.00,3.00,0.00,no,yes,16,19,17.5
GP,5.00,12.00,4.00,2.00,1.00,no,no,15,6,10.5
GP,3.00,6.00,1.00,4.00,0.00,no,yes,1,11,6
GP,4.00,8.00,4.00,3.00,0.00,no,yes,19,15,17
GP,5.00,4.00,4.00,1.00,0.00,no,yes,15,16,15.5
GP,2.00,0.00,3.00,2.00,0.00,no,yes,11,11,11
GP,2.00,10.00,4.00,2.00,0.00,no,yes,14,7,10.5
GP,3.00,0.00,3.00,4.00,0.00,no,yes,19,4,11.5
GP,1.00,5.00,4.00,1.00,0.00,no,yes,0,4,2
GP,4.00,14.00,2.00,2.00,0.00,no,no,0,8,4
GP,5.00,0.00,1.00,1.00,0.00,no,yes,15,8,11.5
GP,3.00,0.00,3.00,3.00,0.00,no,yes,0,11,5.5
GP,5.00,0.00,2.00,4.00,0.00,no,yes,3,18,10.5
GP,3.00,20.00,4.00,2.00,1.00,no,no,16,19,17.5
GP,3.00,8.00,4.00,2.00,1.00,no,yes,15,18,16.5
GP,5.00,0.00,5.00,1.00,0.00,no,no,4,16,10
GP,4.00,38.00,3.00,1.00,1.00,no,yes,15,16,15.5
GP,5.00,0.00,5.00,2.00,1.00,no,no,3,6,4.5
GP,3.00,18.00,4.00,2.00,1.00,yes,no,0,9,4.5
GP,3.00,0.00,2.00,2.00,1.00,no,no,12,3,7.5
GP,2.00,20.00,4.00,2.00,0.00,no,no,18,19,18.5
GP,4.00,3.00,5.00,2.00,1.00,no,no,19,15,17
GP,1.00,22.00,2.00,2.00,1.00,no,yes,15,17,16
GP,3.00,14.00,1.00,3.00,2.00,no,no,3,10,6.5
GP,3.00,40.00,1.00,3.00,1.00,no,no,14,9,11.5
GP,1.00,0.00,3.00,2.00,0.00,no,yes,10,12,11
GP,5.00,9.00,3.00,3.00,0.00,no,yes,15,6,10.5
GP,5.00,0.00,3.00,3.00,0.00,no,yes,17,16,16.5
GP,5.00,2.00,4.00,2.00,0.00,no,yes,12,15,13.5
GP,5.00,23.00,2.00,2.00,0.00,no,yes,19,11,15
GP,3.00,12.00,2.00,2.00,0.00,no,no,19,13,16
GP,3.00,3.00,3.00,3.00,0.00,no,yes,16,9,12.5
GP,5.00,1.00,4.00,3.00,0.00,no,no,18,18,18
GP,2.00,0.00,3.00,3.00,0.00,no,no,3,11,7
GP,3.00,3.00,3.00,3.00,0.00,no,no,14,9,11.5
GP,5.00,3.00,3.00,1.00,0.00,no,no,1,16,8.5
GP,4.00,8.00,4.00,1.00,0.00,no,no,13,15,14
GP,4.00,7.00,4.00,3.00,0.00,no,yes,15,14,14.5
GP,4.00,4.00,3.00,3.00,0.00,no,yes,16,20,18
GP,5.00,2.00,5.00,4.00,0.00,no,no,10,14,12
GP,5.00,7.00,4.00,3.00,0.00,no,no,19,6,12.5
GP,4.00,0.00,3.00,2.00,0.00,no,no,8,19,13.5
GP,2.00,0.00,3.00,2.00,0.00,no,no,11,12,11.5
GP,4.00,0.00,4.00,4.00,0.00,no,no,13,16,14.5
GP,5.00,16.00,4.00,3.00,0.00,no,no,19,10,14.5
GP,5.00,12.00,4.00,3.00,1.00,no,yes,15,12,13.5
GP,2.00,0.00,3.00,2.00,0.00,no,yes,14,7,10.5
GP,1.00,7.00,3.00,4.00,0.00,no,no,19,8,13.5
GP,2.00,4.00,3.00,2.00,0.00,no,yes,13,11,12
GP,3.00,4.00,3.00,3.00,1.00,no,yes,12,19,15.5
GP,2.00,0.00,3.00,2.00,1.00,no,no,11,10,10.5
GP,5.00,11.00,3.00,2.00,0.00,no,no,0,11,5.5
GP,4.00,0.00,3.00,2.00,1.00,no,no,14,4,9
GP,3.00,4.00,3.00,3.00,0.00,no,no,18,4,11
GP,1.00,7.00,4.00,3.00,0.00,no,no,16,13,14.5
GP,4.00,9.00,3.00,3.00,0.00,no,no,18,3,10.5
GP,5.00,0.00,4.00,3.00,0.00,no,yes,18,7,12.5
GP,4.00,0.00,4.00,3.00,0.00,no,yes,19,7,13
MS,5.00,10.00,5.00,1.00,1.00,no,no,15,14,14.5
MS,2.00,8.00,4.00,2.00,3.00,no,no,12,12,12
MS,3.00,2.00,5.00,2.00,0.00,no,yes,14,13,13.5
MS,3.00,7.00,3.00,1.00,1.00,no,no,13,15,14
MS,5.00,4.00,4.00,1.00,1.00,no,no,14,18,16
MS,2.00,4.00,5.00,2.00,0.00,no,yes,16,3,9.5
MS,5.00,0.00,3.00,2.00,0.00,no,no,17,3,10
MS,5.00,4.00,3.00,2.00,0.00,no,yes,16,20,18
MS,5.00,2.00,2.00,2.00,0.00,no,no,15,13,14
MS,3.00,4.00,3.00,1.00,0.00,no,no,13,14,13.5
MS,4.00,0.00,3.00,3.00,0.00,no,no,4,7,5.5
MS,5.00,0.00,3.00,2.00,0.00,no,no,19,11,15
MS,5.00,2.00,4.00,2.00,1.00,no,no,14,15,14.5
MS,3.00,0.00,3.00,2.00,0.00,no,no,12,10,11
MS,1.00,0.00,3.00,2.00,0.00,no,yes,3,8,5.5
MS,3.00,0.00,2.00,2.00,0.00,no,no,17,20,18.5
MS,3.00,4.00,3.00,2.00,0.00,no,yes,17,17,17
MS,5.00,0.00,2.00,3.00,0.00,no,yes,0,12,6
MS,1.00,0.00,2.00,1.00,1.00,no,yes,8,19,13.5
MS,4.00,0.00,2.00,1.00,0.00,no,yes,16,13,14.5
MS,5.00,10.00,2.00,2.00,0.00,no,yes,15,16,15.5
MS,3.00,4.00,2.00,2.00,2.00,no,no,15,17,16
MS,3.00,3.00,3.00,1.00,0.00,no,yes,19,4,11.5
MS,3.00,8.00,4.00,3.00,0.00,no,no,18,11,14.5
MS,1.00,14.00,5.00,1.00,0.00,no,no,7,19,13
MS,1.00,0.00,4.00,3.00,0.00,no,no,0,4,2
MS,4.00,2.00,3.00,3.00,0.00,no,no,9,4,6.5
MS,3.00,4.00,4.00,3.00,2.00,no,yes,1,14,7.5
MS,2.00,4.00,4.00,2.00,0.00,no,yes,11,7,9
MS,1.00,0.00,1.00,2.00,0.00,no,yes,2,3,2.5
MS,1.00,17.00,5.00,2.00,0.00,no,yes,11,3,7
MS,2.00,4.00,2.00,2.00,0.00,no,yes,2,6,4
MS,5.00,5.00,4.00,1.00,0.00,no,no,12,16,14
MS,3.00,2.00,4.00,2.00,0.00,no,no,13,9,11
MS,5.00,0.00,3.00,1.00,1.00,no,no,11,10,10.5
MS,3.00,14.00,4.00,1.00,1.00,no,yes,7,9,8
MS,4.00,2.00,3.00,3.00,0.00,no,yes,12,6,9
MS,5.00,7.00,4.00,1.00,0.00,no,yes,14,17,15.5
MS,5.00,0.00,4.00,3.00,1.00,no,no,9,15,12
MS,1.00,0.00,3.00,2.00,0.00,no,yes,10,8,9
MS,5.00,0.00,1.00,2.00,1.00,no,no,10,13,11.5
MS,4.00,11.00,5.00,2.00,2.00,no,yes,10,6,8
MS,2.00,3.00,4.00,1.00,0.00,no,no,15,19,17
MS,3.00,3.00,5.00,1.00,3.00,no,no,16,18,17
MS,5.00,0.00,4.00,1.00,0.00,no,no,18,12,15
MS,5.00,5.00,2.00,1.00,0.00,no,no,14,15,14.5
